ModelID,AdditionalSystemPrompt,Available,Built-In,InputCachedCostPerThousandTokens,InputWriteCachedCostPerThousandTokens,Description,ExclusiveGroupAvailability,InputContextWindow,InputCostPerThousandTokens,ModelName,OutputCostPerThousandTokens,OutputTokenLimit,Provider,SupportsImages,SupportsReasoning,SupportsSystemPrompts
gpt-5-mini,,FALSE,TRUE,0.000025,0,"Consider for cost-effective advanced reasoning with enhanced efficiency. GPT-5 mini delivers strong reasoning capabilities in a compact, fast model optimized for speed and cost. Features multimodal understanding with image support and enhanced reasoning for coding, math, and analytical tasks. Trained on information available through May, 2024.",[],400000,0.00025,GPT-5 mini,0.002,128000,Azure,TRUE,TRUE,TRUE
gpt-5.1,,FALSE,TRUE,0.000125,0,"Consider for the most current knowledge with advanced reasoning capabilities. GPT-5.1 represents OpenAI's latest flagship model with enhanced reasoning, coding, and multimodal abilities. Features improved accuracy in complex problem-solving and up-to-date knowledge for contemporary applications. Trained on information available through September 2024.",[],400000,0.00125,GPT-5.1,0.01,128000,Azure,TRUE,TRUE,TRUE
gpt-5.2,,FALSE,TRUE,0.000175,0,"Consider for the latest frontier-level reasoning with enhanced multimodal capabilities. GPT-5.2 represents OpenAI's most advanced model with superior reasoning, coding, and analytical abilities. Features state-of-the-art performance in complex problem-solving, mathematical reasoning, and code generation with extended context support. Trained on information available through August 2025.",[],400000,0.00175,GPT-5.2,0.014,128000,Bedrock,TRUE,TRUE,TRUE
mistral.mistral-7b-instruct-v0:2,,FALSE,TRUE,0,0,"Consider for pre-filtering or high-volume tasks.Reduces costs when used alongside more sophisticated models like GPT-4, Claude-3, or Mixtral-8x7B-Instruct.Best for text-related tasks such as summarization, classification, answering questions, creative content generation, and light dialogueTrained on information available through September 2023.",[],8192,0.00015,Mistral 7B,0.0002,8192,Bedrock,FALSE,FALSE,FALSE
mistral.mistral-large-2402-v1:0,,FALSE,TRUE,0,0,"Consider for complex tasks and advanced understanding without the need for recent knowledge.Offer a greater level of intelligence compared to its predecessors.Excels in complex reasoning, text understanding, transformation, code generation, and offers advanced capabilities for multilingual reasoning and analysis.Trained on information available through 2021.",[],128000,0.004,Mistral Large,0.012,4096,Bedrock,FALSE,FALSE,TRUE
mistral.mixtral-8x7b-instruct-v0:1,,FALSE,TRUE,0,0,"Consider for rapid processing and task-specific fine-tuning.Offers advanced intelligence, compared to its predecessors, at a low cost.Best for text summarization, question answering, text classification, code generation, and creative content generation.Trained on information available through September 2023.",[],32000,0.00045,Mixtral 8*7B,0.0007,4096,Bedrock,FALSE,FALSE,FALSE
o3,,FALSE,TRUE,0.0025,0,"Consider for advanced reasoning tasks requiring step-by-step analysis. OpenAI's o3 model focuses on enhanced reasoning capabilities with improved performance in complex problem-solving scenarios. Designed for tasks requiring deep analytical thinking. Training cutoff information not publicly available.",[],200000,0.01,o3,0.04,100000,Azure,TRUE,TRUE,TRUE
o3-mini,,FALSE,TRUE,0.00055,0,"OpenAI o3-mini has been optimized for STEM reasoning. o3-mini with medium reasoning effort matches o1's performance in math, coding, and science, while delivering faster responses.Trained on information available through October 2023.",[],200000,0.0011,o3 mini,0.0044,100000,Azure,FALSE,TRUE,TRUE
o4-mini,,FALSE,TRUE,0.00028,0,"Consider for cost-effective reasoning tasks with compact model efficiency. OpenAI's o4-mini is designed as a lightweight alternative optimized for speed while maintaining reasoning capabilities. Suitable for applications requiring balance of performance and cost efficiency. Training cutoff information not publicly available.",[],200000,0.0011,o4 mini,0.0044,32768,Azure,TRUE,TRUE,TRUE
text-embedding-ada-002,,FALSE,TRUE,0,0,,[],8192,0.0001,Ada-Embedding-002,0,0,Azure,FALSE,FALSE,FALSE
us.amazon.nova-micro-v1:0,,FALSE,TRUE,0.00000875,0,"Consider for ultra-low cost text processing with the fastest response times. Amazon Nova Micro is a text-only model optimized for RAG applications and agentic workflows. Delivers the lowest latency responses at very low cost for speed-sensitive deployments. Trained cutoff date not disclosed.",[],128000,0.000035,Nova Micro,0.00014,10000,Bedrock,FALSE,FALSE,FALSE
us.amazon.nova-lite-v1:0,,FALSE,TRUE,0.000015,0,"Consider for cost-sensitive, high-volume interactive workloads that demand lightning-fast multimodal (text / image ) understanding.Delivers responses with a 300 k-token context window, supports 200 + languages, and can be fine-tuned on text, image, or video inputs.Ideal for chatbots, content moderation, retrieval-augmented generation, and lightweight agent orchestration.Trained cutoff date not disclosed.",[],300000,0.00006,"Nova Lite",0.00024,5000,Bedrock,TRUE,FALSE,FALSE
us.amazon.nova-premier-v1:0,,FALSE,TRUE,0.000625,0,"Amazon Nova Premier is the most capable of Amazon's multimodal models for complex reasoning tasks and for use as the best teacher for distilling custom models. Excels at sophisticated analysis, advanced reasoning, and model distillation workflows with superior multimodal understanding. Trained cutoff date not disclosed.",[],300000,0.0008,Nova Premier,0.0032,5000,Bedrock,TRUE,FALSE,FALSE
us.amazon.nova-pro-v1:0,,FALSE,TRUE,0.0002,0,"Consider for broad-spectrum tasks that need the strongest balance of accuracy, speed, and cost across text and image inputs.Excels at  summarization, complex reasoning, software-development assistance, and multistep AI agents, all within a 300 k-token context window and 200 + language coverage.Trained cutoff date not disclosed.",[],300000,0.0008,Nova Pro,0.0032,5000,Bedrock,TRUE,FALSE,FALSE
us.anthropic.claude-haiku-4-5-20251001-v1:0,,FALSE,TRUE,0.0001,0.00125,"Consider for fast, cost-effective AI tasks with modern reasoning capabilities. Claude Haiku 4.5 delivers Anthropic's signature safety and reasoning in a speed-optimized package. Features multimodal understanding, enhanced reasoning, and high-quality text generation at competitive speeds. Trained on information available through July 2025.",[],200000,0.001,Claude Haiku 4.5,0.005,64000,Bedrock,TRUE,TRUE,TRUE
us.anthropic.claude-opus-4-1-20250805-v1:0,,FALSE,TRUE,0.0015,0.01875,"Consider for the most sophisticated reasoning and analysis tasks. Claude Opus 4.1 represents Anthropic's most advanced model with enhanced reasoning capabilities, superior multimodal understanding, and exceptional performance on complex analytical tasks. Ideal for research, complex problem-solving, and high-stakes applications. Trained on information available through March 2025.",[],200000,0.015,Claude Opus 4.1,0.075,32000,Bedrock,TRUE,TRUE,TRUE
us.anthropic.claude-opus-4-5-20251101-v1:0,,FALSE,TRUE,0.0005,0.00625,"Consider for cutting-edge reasoning with the most current knowledge. Claude Opus 4.5 combines Anthropic's most advanced reasoning capabilities with the latest training data. Features superior multimodal understanding, enhanced reasoning, and state-of-the-art performance across diverse analytical tasks. Trained on information available through August 2025.",[],200000,0.005,Claude Opus 4.5,0.025,64000,Bedrock,TRUE,TRUE,TRUE
us.anthropic.claude-sonnet-4-5-20250929-v1:0,,FALSE,TRUE,0.00033,0.004125,"Consider for tasks requiring a balance between speed and complex reasoning. Anthropic's Claude Sonnet 4.5 has ""hybrid reasoning,"" allowing users to choose between near-instant responses and extended, step-by-step analysis. This flexibility enhances performance in coding, mathematics, and intricate problem-solving. The model also features a ""scratchpad"" that displays its reasoning process, aiding in understanding and refining prompts. Trained on information available through July 2025.",[],100000,0.003,Claude Sonnet 4.5,0.015,64000,Bedrock,TRUE,TRUE,TRUE
us.anthropic.claude-sonnet-4-6,,FALSE,TRUE,0.00033,0.004125,"Consider for tasks requiring a balance between speed and complex reasoning. Anthropic's Claude Sonnet 4.5 has ""hybrid reasoning,"" allowing users to choose between near-instant responses and extended, step-by-step analysis. This flexibility enhances performance in coding, mathematics, and intricate problem-solving. The model also features a ""scratchpad"" that displays its reasoning process, aiding in understanding and refining prompts. Trained on information available through January 2026.",[],200000,0.003,Claude Sonnet 4.6,0.015,64000,Bedrock,TRUE,TRUE,TRUE
us.deepseek.r1-v1:0,,FALSE,TRUE,0,0,"Consider for tasks that benefit from open-source, chain-of-thought style reasoning particularly math, coding, and scientific analysis.DeepSeek-R1 delivers performance on par with OpenAI o1 at a fraction of the cost with enterprise guardrails built-in.Strong option for agentic workflows, decision support, and cost-sensitive large-scale deployments. Trained on information available through July 2024.",[],128000,0.00135,DeepSeek-R1,0.0054,32768,Bedrock,TRUE,TRUE,TRUE
us.meta.llama3-2-90b-instruct-v1:0,,FALSE,TRUE,0,0,"Consider for large-scale AI tasks requiring deep reasoning, robust contextual understanding, and detailed responses. Suitable for research, enterprise, and technical applications. Trained on information available through December 2023.",[],128000,0.00072,Llama 3.2 90b instruct,0.00072,2048,Bedrock,TRUE,FALSE,FALSE
us.mistral.pixtral-large-2502-v1:0,,FALSE,TRUE,0,0,"Consider for advanced multimodal tasks requiring frontier-level image understanding. Mistral Pixtral Large is a 124B parameter model with exceptional document processing, chart interpretation, and mathematical reasoning capabilities. Maintains leading text performance while adding state-of-the-art vision capabilities. Training cutoff information not disclosed.",[],128000,0.002,Mistra Pixtral Large,0.006,128000,Bedrock,TRUE,FALSE,TRUE
